Latitude,Longitude,apparentTemperatureMax,apparentTemperatureMin,cloudCover,dewPoint,humidity,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipTypeIsRain,precipTypeIsSnow,precipTypeIsOther,pressure,temperatureMax,temperatureMin,visibility,windBearing,windSpeed,NDVI,DayInSeason,Yield
31.65915679,72.34156546,44.07219159,29.26491589,0.356576372,17.30155108,0.765368902,0.199312958,1.552217098,0.668593264,5.473961702,0,0,1,912.0609833,39.77742092,24.21322605,3.944767969,349.3810897,8.316536393,0.16053631,262,40.72624428
24.55222295,83.65148104,33.81148898,29.18842252,0.406334478,16.53158132,0.782976882,4.88797505,1.749305151,0.414970673,4.351420786,1,0,0,1007.507349,35.0635338,15.78440954,6.66755573,325.9374645,6.852431343,0.355839968,103,33.1699833
25.05328798,72.86106811,22.02040482,12.16308438,0.813958187,18.33771777,0.640383976,4.381282393,2.608996244,0.086226409,8.576413913,0,1,1,961.9569962,46.1487468,23.44094283,3.062181244,43.36689509,9.812069052,0.699875625,351,95.40905239
36.09131488,72.71987925,41.99436383,28.9166298,0.751695182,17.91567185,0.357538135,0.520667779,1.723543827,0.645408937,8.921746405,0,1,0,1019.797592,37.1583855,24.79690817,6.747123198,333.5846491,13.7119907,0.628048103,335,75.92745279
18.96058662,79.6515507,35.07490691,12.32123067,0.675791375,12.46810622,0.494760755,1.714944668,3.272974081,0.005980123,1.710266866,0,1,1,948.0587994,42.25809052,24.45768833,2.381484336,111.257948,6.111509136,0.051078767,69,24.27889767
19.96580183,76.29898029,27.33766578,20.00204573,0.650855116,11.48240584,0.536005297,4.807032783,3.808993485,0.590401456,1.189530734,0,1,1,949.1210362,44.93257386,12.75273703,2.279219032,142.4552606,4.482170548,0.057188888,115,50.16498026
18.764423,77.30290777,22.01148886,18.14389692,0.135413937,18.32817434,0.37481113,4.785374388,1.126278731,0.145814339,2.803490676,1,0,1,902.1367196,44.22583327,15.64139599,5.824999454,274.3471943,6.17753309,0.851860564,138,67.48905802
29.09720617,82.96587267,22.97582427,23.57167366,0.800142091,19.83777941,0.548692238,1.334626487,4.246308918,0.999174883,6.403650813,0,0,1,1034.060796,31.8000501,13.41948489,9.071547353,51.55994568,14.45071784,0.411097634,328,73.48836428
22.70689025,72.00504465,20.79388261,17.3458833,0.907816833,19.70844561,0.83912791,0.590561505,1.455972867,0.677336422,1.037076728,0,0,0,1008.609106,45.01020003,24.67392005,5.865376182,247.4008289,2.053726787,0.924893261,205,26.92041741
25.31834893,70.19425787,25.53623265,13.6152838,0.04516027,11.77643111,0.933876712,1.298040262,1.276412145,0.092808859,5.729994221,0,1,1,965.6911286,49.80007269,14.87116387,3.093069281,283.3468571,13.54974734,0.634447689,244,83.92591672
14.00869153,74.77678895,38.10718234,25.29254344,0.349205101,15.14155927,0.983750788,0.75253849,0.546817504,0.285718957,7.497290792,0,0,0,1009.645324,25.1380821,24.42545159,5.566996526,161.3135173,4.833630639,0.112226689,190,59.74960248
22.73499283,86.14346528,20.43044463,20.10704257,0.653017186,10.19837047,0.404271163,2.269874985,3.316010848,0.30041009,2.653910727,0,0,1,1025.816351,30.4029385,12.43374478,8.26635113,273.9060279,12.26793827,0.344801776,310,42.05508277
21.26315144,86.18644907,21.11696128,15.41180512,0.160867154,16.863807,0.605863887,4.181534525,3.06543623,0.042709869,3.93899677,1,1,0,1029.887373,40.71273012,15.51819224,4.625011578,113.3805176,2.795452963,0.501168703,169,43.11153343
36.39828774,78.44864445,26.80880334,19.75200497,0.132097179,13.80773749,0.396209085,4.753073584,4.472247251,0.803701925,5.778060373,0,0,0,1010.261495,35.248059,23.58787566,5.755889597,307.9051761,5.0997063,0.282526676,236,88.72902694
21.09488585,89.13035084,34.36210126,16.62469062,0.586748976,18.53702588,0.582713532,1.821299684,2.022593349,0.073097047,5.054544458,0,0,1,991.3138483,49.89156959,22.08939272,8.006050033,50.83676725,10.48204602,0.213122301,31,62.42185909
24.88476369,87.46724335,32.43827315,26.62848998,0.390478303,22.06328763,0.994850696,0.496037825,4.911092377,0.578372189,0.458948378,1,1,0,908.5812277,26.50350296,13.58395811,3.514871347,81.05641125,0.516180062,0.634748569,178,53.65040356
13.11106526,73.37498614,21.45048411,26.74372534,0.189975125,15.8118559,0.567118983,1.731546006,2.319569506,0.882512391,5.256489493,1,0,1,963.7067861,25.95006093,21.18789325,2.993198773,234.2296642,4.278343296,0.897022479,151,55.67510144
24.57792906,84.1276125,41.1166247,14.81807614,0.170924967,19.95107262,0.667354113,0.09798308,4.50761003,0.083762335,6.388121997,0,1,1,1019.363904,31.88381326,18.53756021,8.986201525,48.82286107,6.345730958,0.610019566,121,69.48380377
36.49761975,73.60757342,31.44708296,15.60201815,0.5943445,22.55100744,0.398083717,4.76905637,4.431544354,0.149013936,3.202177845,1,0,0,980.258722,31.26427678,10.9958782,7.325775529,251.5477683,2.113123318,0.717133784,170,49.05168515
20.59598747,84.59022034,34.91977574,24.63169904,0.551123316,19.33402198,0.474745791,0.023519825,2.215259962,0.098293819,8.435573043,0,0,0,918.5023261,37.79675198,15.8235134,2.516433592,259.693801,7.725586095,0.492845529,139,75.80547879
9.326101861,85.54371863,34.24637921,18.23897986,0.995598211,22.15855996,0.936576384,0.8800881,2.277595501,0.961019651,6.377483249,1,0,1,1027.229925,29.5094219,21.38410615,4.528738151,218.197934,1.257426345,0.235172685,229,48.76348555
27.20385839,74.31908577,26.48660635,25.21661491,0.136701532,20.26811913,0.31446762,3.614306653,0.172048834,0.098975683,4.609648195,1,1,1,901.1790062,29.72846386,21.14351727,6.194160584,251.9222939,9.987896065,0.400677546,190,33.10775863
16.13503899,76.23993512,20.02331838,29.82894224,0.54646897,12.4003837,0.839639877,1.172390333,2.846804875,0.657769659,5.254354747,1,0,1,991.9634302,38.51238892,15.8580755,2.726465279,317.1304713,8.402289418,0.657217806,107,53.77325511
10.65356383,69.81467712,32.444913,21.1573061,0.226946047,16.90490291,0.579378273,3.838867125,0.944460612,0.333104537,2.764070259,0,0,0,986.6361116,44.51468231,14.813591,7.223048029,356.7443521,3.900720688,0.761194976,198,87.09098637
29.4536589,78.31222366,31.79755999,13.61469984,0.82649959,22.76116682,0.849820702,4.490279902,2.834038093,0.622691185,7.115847031,1,0,1,903.8033488,48.98920955,24.55872214,7.029372901,241.0108122,6.502869297,0.873447493,147,43.40686224
